,percentage,lime,shap,grad,LEG_exact,LEG
0,0.01,0.3125758469104767,0.015810633078217506,0.9954257607460022,0.8217419981956482,0.9731989502906799
1,0.02,0.8428383469581604,0.02322545275092125,0.970349133014679,0.6777251958847046,0.7207351922988892
2,0.03,0.5957744121551514,0.009365018457174301,0.9071182012557983,0.2858867049217224,0.49653592705726624
3,0.04,0.1278887540102005,0.007948892191052437,0.8763468265533447,0.21451954543590546,0.5112127661705017
4,0.05,0.12462200224399567,0.004229246638715267,0.885067343711853,0.28660616278648376,0.29949530959129333
5,0.060000000000000005,0.09965623170137405,0.002264635870233178,0.5489353537559509,0.10201194137334824,0.12134168297052383
6,0.06999999999999999,0.20104020833969116,0.002739391988143325,0.14540964365005493,0.02785983681678772,0.27175673842430115
7,0.08,0.03737131878733635,0.002652919851243496,0.17260390520095825,0.016109654679894447,0.08203263580799103
8,0.09,0.025767523795366287,0.0019534826278686523,0.24699781835079193,0.01902063563466072,0.15681320428848267
9,0.09999999999999999,0.032495178282260895,0.0015317120123654604,0.04472437500953674,0.01905563287436962,0.06794596463441849
10,0.11,0.017768405377864838,0.0006562520284205675,0.030411189422011375,0.026067344471812248,0.04221290349960327
11,0.12,0.025265928357839584,0.0002869751479011029,0.03969268500804901,0.012933974154293537,0.04421877861022949
12,0.13,0.036273933947086334,0.0003207339032087475,0.0740371122956276,0.006899269763380289,0.05725781247019768
13,0.14,0.008503123186528683,0.00029027785058133304,0.031597819179296494,0.0040276325307786465,0.04098347947001457
14,0.15000000000000002,0.001155244535766542,0.00022802977764513344,0.062353648245334625,0.004594508558511734,0.043669477105140686
15,0.16,0.007091423496603966,0.00024470515199936926,0.13803739845752716,0.0005918153328821063,0.05484321340918541
16,0.17,0.0017359035555273294,0.0002292739081894979,0.14220747351646423,0.0013102757511660457,0.05319105461239815
17,0.18000000000000002,0.0006572861457243562,0.0002169101790059358,0.14691059291362762,0.0011618873104453087,0.06020106002688408
18,0.19,0.0025317182298749685,0.0002665261272341013,0.1372375339269638,0.0009015508694574237,0.09478426724672318
19,0.2,0.0030184779316186905,0.00023402267834171653,0.06128426641225815,0.0006106949876993895,0.049850109964609146
20,0.21000000000000002,0.003593702334910631,0.00024084669712465256,0.055406928062438965,0.0004496059555094689,0.09842830151319504
21,0.22,0.007127522490918636,0.0002779621281661093,0.046403661370277405,0.00024549991940148175,0.11913484334945679
22,0.23,0.012416757643222809,0.00032593830837868154,0.03891848027706146,0.00021066352201160043,0.0968342199921608
23,0.24000000000000002,0.016799991950392723,0.00039265985833480954,0.0318448469042778,0.00014437510981224477,0.06891780346632004
24,0.25,0.008895087987184525,0.0005389672587625682,0.02558017149567604,3.73151597159449e-05,0.047283124178647995
25,0.26,0.019934501498937607,0.0006413346854969859,0.01962485909461975,4.4940108637092635e-05,0.042392656207084656
26,0.27,0.020299723371863365,0.000726762053091079,0.020165465772151947,5.2799099648837e-05,0.07013139873743057
27,0.28,0.014830476604402065,0.0007099188514985144,0.012896038591861725,2.8999587811995298e-05,0.049960047006607056
28,0.29000000000000004,0.009277844801545143,0.00047826554509811103,0.016143713146448135,1.5550664102192968e-05,0.04490731284022331
29,0.3,0.00373190944083035,0.00042052415665239096,0.006581500638276339,1.825477374950424e-05,0.09191552549600601
30,0.31,0.0010546187404543161,0.0004065918328706175,0.004488400183618069,2.6396475732326508e-05,0.07422617822885513
31,0.32,0.0024991955142468214,0.0005006619612686336,0.007337481714785099,2.089096415147651e-05,0.06835881620645523
32,0.33,0.0008099630358628929,0.0005900422111153603,0.0021400211844593287,4.687594991992228e-05,0.08239734172821045
33,0.34,0.0008944599539972842,0.0004913136945106089,0.00293768011033535,4.311792872613296e-05,0.06550144404172897
34,0.35000000000000003,0.004255213309079409,0.0004705144965555519,0.004207781981676817,2.291650525876321e-05,0.06861528754234314
35,0.36000000000000004,0.006261225789785385,0.000608729082159698,0.002478985348716378,3.544090213836171e-05,0.07988006621599197
36,0.37,0.005927951540797949,0.0008471106411889195,0.0015874681994318962,1.956933738256339e-05,0.026976659893989563
37,0.38,0.0014326057862490416,0.001051283092238009,0.001577013754285872,2.635133932926692e-05,0.05821951851248741
38,0.39,0.0013096381444483995,0.0010453470749780536,0.0024721662048250437,2.4031854991335422e-05,0.05429976433515549
39,0.4,0.0011352362344041467,0.0014399978099390864,0.0032428510021418333,2.7485208192956634e-05,0.05280335620045662
40,0.41000000000000003,0.0011319404002279043,0.0014076250372454524,0.002352458657696843,1.0628777999954764e-05,0.05601976439356804
41,0.42000000000000004,0.0009122029296122491,0.0018455155659466982,0.0016317770350724459,1.0229190593236126e-05,0.04939955845475197
42,0.43,0.0037783351726830006,0.0019250271143391728,0.0026397055480629206,1.1850267583213281e-05,0.0541231743991375
43,0.44,0.0023847990669310093,0.0017429280560463667,0.0019086298998445272,6.778681381547358e-06,0.051846425980329514
44,0.45,0.0008536221575923264,0.0017057422082871199,0.0016728391638025641,6.831290193076711e-06,0.058232031762599945
45,0.46,0.0006250690203160048,0.0018249290296807885,0.0010697765974327922,9.24658070289297e-06,0.06771238893270493
46,0.47000000000000003,0.0007465928792953491,0.0017724130302667618,0.0015234780730679631,9.501795830146875e-06,0.07749321311712265
47,0.48000000000000004,0.00036877565435133874,0.002105276333168149,0.0014413079479709268,4.561765308608301e-06,0.09823813289403915
48,0.49,0.00042404377018101513,0.0018816097872331738,0.00201055477373302,4.997392807126744e-06,0.0896068811416626
49,0.5,0.0017438180511817336,0.0022103909868746996,0.002421910408884287,1.012477878248319e-05,0.07762932032346725
50,0.51,0.00033981987508013844,0.002134478883817792,0.0008970813942141831,1.1773130609071814e-05,0.05642539635300636
51,0.52,0.00022374765831045806,0.002323198365047574,0.001267866580747068,5.709699053113582e-06,0.02504012919962406
52,0.53,0.00025709779583849013,0.0022426890209317207,0.0007843008497729897,2.812009824992856e-06,0.029922878369688988
53,0.54,0.00017678951553534716,0.0027018992695957422,0.0004941028309985995,5.096257609693566e-06,0.029704447835683823
54,0.55,0.00016882333147805184,0.0027734737377613783,0.0006235546316020191,6.8106655817246065e-06,0.019698485732078552
55,0.56,0.00021758531511295587,0.0033392379991710186,0.0005919618997722864,4.740245458378922e-06,0.021592047065496445
56,0.5700000000000001,0.0001835559232858941,0.0024794400669634342,0.0005279218312352896,7.274866675288649e-06,0.017052488401532173
57,0.5800000000000001,0.00017674738774076104,0.0021913545206189156,0.0004285869072191417,7.252369869092945e-06,0.012403101660311222
58,0.59,0.00013952585868537426,0.0014067479642108083,0.00039036740781739354,1.9347569832461886e-05,0.012899420224130154
59,0.6,0.00011010553134838119,0.0009644965175539255,0.00021406241285149008,2.000917083933018e-05,0.010607766918838024
60,0.61,0.0001187125890282914,0.0014208781067281961,0.00024820194812491536,1.5629882909706794e-05,0.02042185328900814
61,0.62,0.0001937074412126094,0.002013865392655134,0.00014885186101309955,2.4829827452776954e-05,0.0060452669858932495
62,0.63,0.0003009871579706669,0.0018175877630710602,9.57226293394342e-05,3.7796628021169454e-05,0.001852017710916698
63,0.64,0.0003025876940228045,0.002022366737946868,3.589064726838842e-05,2.7561171009438112e-05,0.006676340010017157
64,0.65,0.0002949425543192774,0.0023677630815654993,2.3183418306871317e-05,3.2096097129397094e-05,0.0066091218031942844
65,0.66,0.00046859431313350797,0.002109993016347289,0.00012823253928218037,3.316781294415705e-05,0.006441737990826368
66,0.67,0.0004670803900808096,0.0021857554093003273,0.00036009246832691133,1.8766637367662042e-05,0.003880281001329422
67,0.68,0.00037494447315111756,0.001673844293691218,0.00028954746085219085,1.7340438716928475e-05,0.0025390367954969406
68,0.6900000000000001,0.00039726286195218563,0.0017531684134155512,0.000819796696305275,1.2707847417914309e-05,0.003502937499433756
69,0.7000000000000001,0.0003698235668707639,0.0019100755453109741,0.0013779002474620938,1.9102535588899627e-05,0.0039714667946100235
70,0.7100000000000001,0.00035677256528288126,0.001645769807510078,0.0006548528326675296,3.889081199304201e-05,0.005814365576952696
71,0.72,0.0003472085518296808,0.0016682707937434316,0.0006152069545350969,5.718023385270499e-05,0.0070172869600355625
72,0.73,0.00026617993717081845,0.001803776016458869,0.0006051966920495033,9.834330558078364e-05,0.009470349177718163
73,0.74,0.0002748795668594539,0.0021684232633560896,0.0006658127531409264,9.915689588524401e-05,0.004038203042000532
74,0.75,0.00025700926198624074,0.0023819294292479753,0.0006209239363670349,9.73909191088751e-05,0.003472733311355114
75,0.76,0.00014433181786444038,0.0025911976117640734,0.0006397577235475183,8.314517617691308e-05,0.004178729839622974
76,0.77,5.947031604591757e-05,0.002578966785222292,0.0005418090149760246,8.43129528220743e-05,0.009785468690097332
77,0.78,0.00014690069656353444,0.003406326984986663,0.0006401437567546964,8.11937716207467e-05,0.010083575733006
78,0.79,6.270331505220383e-05,0.004681563936173916,0.0004273439117241651,9.835161472437903e-05,0.009689868427813053
